trt,age,educ,black,hisp,marr,nodeg,re74,re75,re78
0,45,11,0,0,1,1,21516.67,25243.55,25564.67
0,21,14,0,0,0,0,3175.971,5852.565,13496.08
0,38,12,0,0,1,0,23039.02,25130.76,25564.67
0,98,,0,0,1,1,24994.37,25243.55,25564.67
0,18,8,0,0,1,1,1669.295,10727.61,9860.869
0,22,11,0,0,1,1,16365.76,18449.27,25564.67
0,48,10,0,0,1,1,16804.63,16354.6,18059.3
0,18,11,0,0,0,1,1144.212,3620.032,15739.27
0,48,9,0,0,1,1,25862.32,25243.55,25564.67
0,45,12,0,0,1,0,25862.32,0,3924.842
0,34,14,0,0,1,0,25862.32,23746.84,25564.67
0,16,10,0,0,0,1,1026.656,1224.581,6847.785
0,53,10,0,0,1,1,25862.32,25243.55,25564.67
0,19,,0,0,0,0,867.9552,4386.29,8777.696
0,297,12,0,0,1,0,25862.32,19047.24,19214.88
0,32,10,0,0,1,1,20427.32,23374.45,9179.637
0,27,12,0,0,1,0,20983.75,14822.08,25564.67
0,46,7,0,0,,1,19171.43,1317.677,0
0,24,13,0,0,0,0,20830.92,25243.55,23903.71
0,22,13,0,0,0,0,11036.55,10351.65,6556.673
0,49,10,0,0,1,1,391.8534,0,0
0,-17,10,0,0,0,1,0,0,4755.324
0,29,14,0,0,1,0,21499.03,22586.71,20923.13
0,28,16,0,0,,0,16500.95,0,10267.24
0,46,12,0,0,1,0,24814.11,24967.84,19339.01
0,26,17,1,0,1,0,0,0,4753.846
0,49,12,0,0,0,0,25862.32,25243.55,25564.67
0,51,10,,0,1,1,25862.32,25243.55,25564.67
0,51,10,0,0,1,1,22923.42,21725.56,10348.52
0,27,,0,0,1,1,17022.11,18123.44,18490.79
0,23,13,0,0,0,0,19098.93,21014.81,0
0,465,10,0,0,1,1,7952.664,9755.468,13105.96
0,38,10,0,0,1,1,25862.32,25243.55,25564.67
0,32,8,0,0,0,1,7186.591,6149.758,8414.175
0,34,14,0,0,1,0,25862.32,25243.55,25564.67
0,,18,0,0,1,0,20971.99,21883.11,25564.67
0,21,13,0,0,0,0,8638.407,8176.403,6753.21
0,,8,0,1,0,1,13499.35,16383.24,16461.87
0,17,8,1,0,0,1,0,451.1613,0
0,,11,0,1,1,1,17466.86,17779.69,14438.87
0,21,12,0,1,0,0,0,0,0
0,44,9,0,1,1,1,15390.04,14886.53,12634.56
0,26,10,0,1,1,1,17125.95,17446.69,13518.24
0,54,4,0,1,1,1,13350.44,13180.35,13741.38
0,42,12,0,1,1,0,21663.61,22013.81,19941.92
0,25,12,0,0,0,0,8105.487,11869.84,6170.986
0,20,13,0,0,0,0,317.4012,214.8387,0
0,44,11,0,0,1,1,25862.32,25243.55,25564.67
0,33,12,0,0,1,0,25862.32,25243.55,25564.67
0,40,12,0,0,1,0,25862.32,14494.45,25564.67
0,25,,0,0,1,0,21048.4,22916.13,23574.17
0,33,12,0,0,0,0,12694.09,13046.08,11264.71
0,52,13,1,0,0,0,19827.78,19668.48,18437.59
0,54,14,0,0,1,0,24686.76,25243.55,25564.67
0,27,15,0,0,0,0,19200.81,19303.26,18207.07
0,51,10,0,0,1,1,7488.318,7888.161,6148.82
0,42,12,0,0,1,0,6502.807,15241.02,15468.84
0,50,10,0,0,1,1,25862.32,25243.55,25564.67
0,47,10,0,0,1,1,15282.28,13964.52,9043.687
0,28,12,0,0,1,0,24224.37,11019.44,20055.71
0,33,12,0,0,1,0,25862.32,25243.55,25564.67
0,33,13,0,0,1,0,21146.37,18732.15,22254.56
0,55,16,0,0,1,0,25862.32,24627.68,25564.67
0,38,12,0,0,1,0,25862.32,25243.55,25564.67
0,39,16,0,0,1,0,25862.32,25243.55,25564.67
0,27,17,0,0,1,0,25862.32,25243.55,25564.67
0,16,9,0,0,0,1,378.1385,467.2742,4306.095
0,35,12,0,0,1,0,6645.833,3331.79,0
0,35,12,0,0,1,0,22421.85,21093.58,23590.43
0,45,12,0,0,1,0,25862.32,25243.55,0
0,51,11,0,0,1,1,18270.16,21637.84,20267.02
0,27,16,0,0,0,0,11316.73,1761.677,5532.608
0,28,14,0,0,1,0,0,0,18719.84
0,35,18,0,0,1,0,25862.32,25243.55,25564.67
0,39,10,0,0,1,1,18534.66,0,21496.49
0,33,12,0,0,0,0,25862.32,25243.55,25564.67
0,52,16,0,0,1,0,25862.32,25241.76,12429.16
0,22,13,0,0,0,0,5023.56,6819.339,13943.83
0,25,12,0,0,1,0,20070.73,11117.9,19003.56
0,28,16,0,0,1,0,25013.96,22710.24,0
0,27,16,0,0,1,0,16888.88,16200.63,17295.31
0,30,13,0,0,0,0,8362.151,7990.21,8590.025
0,28,15,0,0,0,0,9672.9,8085.097,14348.73
0,24,12,0,0,1,0,19083.26,18270.24,22261.95
0,29,11,1,0,0,1,14743.48,14954.56,13714.78
0,49,7,1,0,0,1,16444.13,16028.76,15965.36
0,22,12,0,0,1,0,13352.4,14358.39,17051.49
0,30,16,0,0,1,0,25862.32,25243.55,25564.67
0,45,12,0,0,1,0,24185.19,25243.55,0
0,44,12,0,0,1,0,24669.13,24418.21,25564.67
0,21,12,0,0,0,0,11465.63,1953.242,25564.67
0,26,13,0,0,1,0,11661.56,4142.806,18650.39
0,25,16,0,0,1,0,18822.68,20112.48,20986.67
0,45,8,0,0,1,1,16883,15316.21,17010.11
0,19,9,0,0,0,1,3311.161,10525.31,1693.475
0,55,9,0,0,1,1,12609.84,12349.65,12201.59
0,22,12,0,0,1,0,12423.71,13035.34,17482.98
0,37,18,0,0,1,0,0,16735.94,25564.67
0,38,12,0,0,1,0,25862.32,25243.55,25298.68
0,19,9,0,0,0,1,3311.161,10525.31,1693.475